symbol,analysis_date,entry_price,overall_score,recommendation,momentum_score,momentum_flags,breakout_score,breakout_patterns,undervaluation_score,fundamental_score,technical_score,profit_action,actual_return,max_drawdown,volatility,sharpe_ratio,holding_days
BAJAJHLDNG,2025-05-08,11468.9560546875,69.27295712964796,🟢 STRONG BUY (UNDERVALUED) (ML: 68%),0,0,0,0,83.2,93.0,42.0,HOLD & MONITOR,24.49941608095377,-7.450083512894443,37.628257109334925,1.55200286200765,60
BAJAJHLDNG,2025-06-07,14152.228515625,69.27295712964796,🟢 STRONG BUY (UNDERVALUED) (ML: 68%),0,0,0,0,83.2,93.0,42.0,HOLD & MONITOR,-9.26614708948597,-13.62666415467558,24.648656064767803,-1.0094514345338734,60
BAJAJHLDNG,2025-07-07,14217.673828125,69.27295712964796,🟢 STRONG BUY (UNDERVALUED) (ML: 68%),0,0,0,0,83.2,93.0,42.0,HOLD & MONITOR,-13.158498996125894,-16.9914167481059,24.79507295486402,-1.3906746430577317,60
BAJAJHLDNG,2025-08-06,13540.0263671875,69.27295712964796,🟢 STRONG BUY (UNDERVALUED) (ML: 68%),0,0,0,0,83.2,93.0,42.0,HOLD & MONITOR,-11.560345658265739,-18.333836317201225,26.507245639164935,-1.160580137748721,59
DRREDDY,2025-05-08,1140.76513671875,65.79554237302835,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,70.6,88.0,52.0,HOLD & MONITOR,10.59403321573179,-8.427068341554069,18.12554039065544,1.3297451988561753,60
DRREDDY,2025-06-07,1310.7867431640625,65.79554237302835,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,70.6,88.0,52.0,HOLD & MONITOR,-5.827034987638591,-11.624739641671216,19.1069733576486,-0.8582862571980064,60
DRREDDY,2025-07-07,1302.240966796875,65.79554237302835,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,70.6,88.0,52.0,HOLD & MONITOR,-2.430757397821046,-7.931996752054525,20.1699562745293,-0.39774666742382975,60
DRREDDY,2025-08-06,1196.699951171875,65.79554237302835,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,0,0,0,70.6,88.0,52.0,HOLD & MONITOR,-0.3997375610376952,-9.578888323056367,21.25151059002468,-0.14137805469936393,59
ETERNAL,2025-05-08,229.80999755859375,40.38107354731901,🟢 BUY (DIVERSIFIES),0,0,0,0,42.7,27.0,57.0,HOLD & MONITOR,35.51113349478871,-8.780925420493704,39.93681317888778,2.142357188103464,60
ETERNAL,2025-06-07,256.8399963378906,40.38107354731901,🟢 BUY (DIVERSIFIES),0,0,0,0,42.7,27.0,57.0,HOLD & MONITOR,27.542246341125136,-4.9519562432523845,31.840211766851883,2.0698394165935508,60
ETERNAL,2025-07-07,258.54998779296875,40.38107354731901,🟢 BUY (DIVERSIFIES),0,0,0,0,42.7,27.0,57.0,HOLD & MONITOR,24.857685009487664,-6.099167977549204,32.386238598729896,1.8304938955524477,60
ETERNAL,2025-08-06,298.8500061035156,40.38107354731901,🟢 BUY (DIVERSIFIES),0,0,0,0,42.7,27.0,57.0,HOLD & MONITOR,6.909695477552817,-10.328772533680649,23.199855929687114,0.6541390367620071,59
GICRE,2025-05-08,391.69464111328125,85.3698492153017,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,92.1,100.0,60.0,HOLD & MONITOR,-0.5704890148920779,-15.12201153944065,25.126563517745193,-0.13667964881562317,60
GICRE,2025-06-07,396.9010009765625,85.3698492153017,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,92.1,100.0,60.0,HOLD & MONITOR,-9.035409596433462,-11.196584416861409,21.6460205747088,-1.1231866211811878,60
GICRE,2025-07-07,368.2416076660156,85.3698492153017,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,92.1,100.0,60.0,HOLD & MONITOR,0.4549755179601216,-8.973722043882024,19.84370767077798,-0.04560849628276671,60
GICRE,2025-08-06,370.0906066894531,85.3698492153017,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),15,0,0,0,92.1,100.0,60.0,HOLD & MONITOR,3.28927813573439,-8.973722043882024,20.383941138257715,0.3027396847984493,59
HINDUNILVR,2025-05-08,2330.39306640625,43.3939698982635,🟢 BUY (DIVERSIFIES),0,0,0,0,46.2,52.0,47.0,HOLD & MONITOR,9.207998294437166,-4.521570011704007,18.81414589461496,1.0993736559763194,60
