symbol,sector,entry_date,exit_date,holding_days,qty,entry_price,exit_price,gross_pl,entry_costs,exit_costs,tax_type,tax,net_pl,net_return_pct,entry_score,peak_score,exit_score,peak_price,exit_reason,slippage_bps
ULTRACEMCO,Basic Materials,2022-01-04,2022-02-02,29,25,7756.749,7565.1275,-4790.54,218.29,196.17,STCG,0.0,-5205.0,-2.6841,171.31,171.31,67.76,7870.1001,LVM_ROTATION,10.0
TORNTPOWER,Utilities,2022-01-04,2022-02-02,29,350,559.4589,544.8046,-5129.0,232.47,197.78,STCG,0.0,-5559.26,-2.8391,168.03,168.03,69.4,580.95,LVM_ROTATION,10.0
SIEMENS,Industrials,2022-01-04,2022-02-02,29,140,1395.4004,1425.8034,4256.42,222.86,207.04,STCG,765.3,3061.21,1.567,167.76,167.76,66.12,1419.4235,LVM_ROTATION,10.0
VOLTAS,Consumer Cyclical,2022-01-04,2022-02-02,29,158,1241.3401,1181.9669,-9380.97,218.98,193.7,STCG,0.0,-9793.65,-4.9934,165.3,165.3,57.1,1303.65,LVM_ROTATION,10.0
PAGEIND,Consumer Cyclical,2022-02-02,2022-02-15,13,4,43502.3573,39304.3048,-16792.21,195.06,163.07,STCG,0.0,-17150.34,-9.856,159.84,159.84,159.84,43502.3573,LVM_STOP: -10.1% <= -10%,10.0
AMBUJACEM,Basic Materials,2022-02-02,2022-02-19,17,513,384.0837,333.8658,-25761.78,242.25,177.65,STCG,0.0,-26181.68,-13.2878,166.67,166.67,166.67,384.0837,LVM_STOP: -11.9% <= -10%,10.0
HAL,Industrials,2022-02-02,2022-02-22,20,271,725.2245,631.8675,-25299.75,233.33,177.61,STCG,0.0,-25710.69,-13.0819,166.67,166.67,166.67,725.2245,LVM_STOP: -10.3% <= -10%,10.0
GRASIM,Basic Materials,2022-02-02,2022-02-25,23,111,1774.7233,1572.1687,-22483.56,220.81,181.01,STCG,0.0,-22885.38,-11.6173,175.14,175.14,175.14,1774.7233,LVM_STOP: -13.3% <= -10%,10.0
NTPC,Utilities,2022-02-02,2022-02-25,23,1386,142.142,124.875,-23932.06,233.89,179.52,STCG,0.0,-24345.48,-12.3576,170.77,170.77,170.77,142.142,LVM_STOP: -12.5% <= -10%,10.0
ICICIBANK,Financial Services,2022-02-02,2022-02-25,23,241,815.815,724.2251,-22073.17,232.63,181.04,STCG,0.0,-22486.83,-11.4372,164.75,164.75,164.75,815.815,LVM_STOP: -13.3% <= -10%,10.0
ABB,Industrials,2022-01-04,2022-03-03,58,88,2226.1238,2197.8,-2492.49,225.91,200.61,STCG,0.0,-2919.01,-1.4901,171.04,171.04,65.32,2408.3999,LVM_ROTATION,10.0
POLYCAB,Industrials,2022-02-02,2022-03-03,29,78,2502.5,2391.8558,-8630.25,208.99,193.51,STCG,0.0,-9032.75,-4.6276,175.96,175.96,71.77,2502.5,LVM_ROTATION,10.0
SUNPHARMA,Healthcare,2022-02-02,2022-03-03,29,221,890.89,831.9672,-13021.94,233.75,190.71,STCG,0.0,-13446.4,-6.8295,175.68,175.68,77.69,894.3,LVM_ROTATION,10.0
UNITDSPR,Consumer Defensive,2022-03-03,2022-03-08,5,214,891.891,771.228,-25821.88,224.08,171.19,STCG,0.0,-26217.15,-13.736,176.08,176.08,176.08,891.891,LVM_STOP: -13.1% <= -10%,10.0
JSWENERGY,Utilities,2022-03-03,2022-03-09,6,555,344.7444,307.5422,-20647.22,227.16,177.04,STCG,0.0,-21051.42,-11.0025,155.38,155.38,155.38,344.7444,LVM_STOP: -13.5% <= -10%,10.0
VEDL,Basic Materials,2022-03-03,2022-03-16,13,478,400.4,361.638,-18528.24,211.82,179.3,STCG,0.0,-18919.35,-9.8852,153.76,153.76,153.76,400.4,LVM_STOP: -10.7% <= -10%,10.0
NATIONALUM,Basic Materials,2022-03-03,2022-03-16,13,1471,130.13,114.1358,-23527.47,227.26,174.14,STCG,0.0,-23928.87,-12.5006,150.0,150.0,150.0,130.13,LVM_STOP: -12.7% <= -10%,10.0
OIL,Energy,2022-03-03,2022-03-18,15,1137,168.3348,148.518,-22531.7,227.23,175.15,STCG,0.0,-22934.08,-11.9825,160.22,160.22,160.22,168.3348,LVM_STOP: -12.9% <= -10%,10.0
TITAN,Consumer Cyclical,2022-01-04,2022-04-02,88,77,2527.525,2537.8097,791.92,192.51,202.69,STCG,79.34,317.38,0.1631,171.04,178.76,74.19,2712.75,LVM_ROTATION,10.0
MPHASIS,Technology,2022-03-03,2022-04-02,30,60,3172.169,3334.662,9749.58,225.96,207.53,STCG,1863.22,7452.87,3.9158,168.01,168.01,68.82,3429.0,LVM_ROTATION,10.0
HINDALCO,Basic Materials,2022-03-03,2022-04-02,30,311,614.5139,571.428,-13399.71,226.9,184.33,STCG,0.0,-13810.94,-7.2266,160.22,160.22,57.26,631.3,LVM_ROTATION,10.0
ADANIENSOL,Utilities,2022-03-03,2022-04-02,30,83,2302.3,2416.581,9485.32,226.87,208.04,STCG,1810.08,7240.33,3.7889,153.49,153.49,52.96,2461.55,LVM_ROTATION,10.0
ADANIPOWER,Utilities,2022-03-03,2022-04-02,30,7637,25.075,41.3586,124357.85,227.35,327.61,STCG,24760.58,99042.31,51.7198,147.58,147.58,46.77,40.69,LVM_ROTATION,10.0
INFY,Technology,2022-04-02,2022-04-19,17,107,1891.6397,1635.0134,-27459.01,222.09,181.46,STCG,0.0,-27862.56,-13.7657,182.26,182.26,182.26,1891.6397,LVM_STOP: -14.3% <= -10%,10.0
WIPRO,Technology,2022-04-02,2022-04-19,17,668,302.8025,271.728,-20757.77,255.62,188.27,STCG,0.0,-21201.66,-10.4818,173.66,173.66,173.66,302.8025,LVM_STOP: -11.1% <= -10%,10.0
TECHM,Technology,2022-04-02,2022-04-20,18,135,1488.5871,1304.0946,-24906.49,230.38,182.61,STCG,0.0,-25319.48,-12.5993,169.89,169.89,169.89,1498.65,LVM_STOP: -12.6% <= -10%,10.0
BAJAJHLDNG,Financial Services,2022-04-02,2022-05-03,31,37,5430.425,5344.65,-3173.68,229.42,205.11,STCG,0.0,-3608.21,-1.7958,182.26,182.26,70.43,6242.9502,LVM_ROTATION,10.0
SBIN,Financial Services,2022-04-02,2022-05-03,31,397,509.8093,491.508,-7265.62,240.29,202.39,STCG,0.0,-7708.3,-3.8086,168.28,168.28,69.09,517.7,LVM_ROTATION,10.0
