symbol,sector,entry_date,exit_date,holding_days,qty,entry_price,exit_price,gross_pl,entry_costs,exit_costs,tax_type,tax,net_pl,net_return_pct,entry_score,peak_score,exit_score,peak_price,exit_reason,slippage_bps
SOLARINDS,Basic Materials,2023-09-02,2023-11-02,61,50,4934.8801,5568.526,31682.29,121.14,288.79,STCG,6254.47,25017.89,10.1392,185.64,185.64,85.37,5521.3501,LVM_ROTATION,10.0
OFSS,Technology,2023-09-02,2023-11-02,61,59,4168.164,3933.163,-13865.06,291.96,240.7,STCG,0.0,-14397.72,-5.8546,165.69,166.22,68.88,4396.5498,LVM_ROTATION,10.0
COALINDIA,Energy,2023-10-04,2023-11-02,29,856,291.0908,308.6411,15023.06,236.29,274.03,STCG,2902.55,11610.19,4.6595,181.12,181.12,78.99,317.4,LVM_ROTATION,10.0
OIL,Energy,2023-09-02,2023-12-02,91,1356,184.0505,210.123,35354.31,262.31,295.53,STCG,6959.29,27837.17,11.1539,184.04,189.89,85.19,221.0667,LVM_ROTATION,10.0
PERSISTENT,Technology,2023-10-04,2023-12-02,59,87,2852.3996,3247.2495,34351.94,89.4,293.03,STCG,6793.9,27175.61,10.9509,189.36,189.36,86.24,3297.0,LVM_ROTATION,10.0
NMDC,Basic Materials,2023-10-04,2023-12-02,59,5050,49.3827,61.7049,62227.11,258.54,323.21,STCG,12329.07,49316.29,19.7754,163.3,164.63,63.49,60.6833,LVM_ROTATION,10.0
VBL,Consumer Defensive,2023-11-02,2023-12-02,30,681,370.37,443.9556,50111.79,116.25,313.59,STCG,9936.39,39745.56,15.7582,194.15,194.15,94.44,442.0,LVM_ROTATION,10.0
KPITTECH,Technology,2023-11-02,2023-12-02,30,204,1233.0318,1498.5,54155.51,202.33,317.07,STCG,10727.22,42908.88,17.0586,190.69,190.69,93.65,1624.0,LVM_ROTATION,10.0
SUPREMEIND,Industrials,2023-11-02,2023-12-02,30,56,4454.45,4466.429,670.82,120.52,259.43,STCG,58.18,232.7,0.0933,181.91,181.91,80.16,4513.8501,LVM_ROTATION,10.0
KALYANKJIL,Consumer Cyclical,2023-11-02,2023-12-02,30,833,303.0527,339.66,30493.88,299.71,293.47,STCG,5980.14,23920.56,9.4756,180.59,180.59,81.22,347.9,LVM_ROTATION,10.0
IRFC,Financial Services,2023-11-02,2023-12-02,30,3409,74.074,77.922,13117.83,299.8,275.52,STCG,2508.5,10034.01,3.9736,164.76,164.76,64.15,76.9,LVM_ROTATION,10.0
PRESTIGE,Real Estate,2023-11-02,2023-12-02,30,314,750.5998,1048.95,93681.96,221.6,341.63,STCG,18623.75,74494.99,31.6074,156.91,156.91,61.11,1037.8,LVM_ROTATION,10.0
COALINDIA,Energy,2023-12-02,2024-01-02,31,816,351.4511,387.0126,29018.18,250.61,327.56,STCG,5688.0,22752.02,7.9335,184.92,184.92,87.57,381.8,LVM_ROTATION,10.0
CUMMINSIND,Industrials,2023-12-02,2024-01-02,31,148,1936.8849,1953.045,2391.69,281.86,299.81,STCG,362.0,1448.02,0.5051,176.72,176.72,67.99,2027.15,LVM_ROTATION,10.0
SIEMENS,Industrials,2023-12-02,2024-01-02,31,128,2232.7992,2372.0679,17826.39,263.1,314.93,STCG,3449.67,13798.69,4.8281,166.67,166.67,63.49,2429.7375,LVM_ROTATION,10.0
ITC,Consumer Defensive,2023-12-02,2024-02-02,62,654,438.5646,428.0688,-6864.25,246.72,290.38,STCG,0.0,-7401.35,-2.5805,174.87,174.87,68.25,459.5513,LVM_ROTATION,10.0
TITAN,Consumer Cyclical,2023-12-02,2024-02-02,62,80,3553.55,3631.365,6225.2,152.83,301.32,STCG,1154.21,4616.83,1.624,174.34,174.87,75.13,3866.6499,LVM_ROTATION,10.0
LT,Industrials,2023-12-02,2024-02-02,62,87,3288.285,3399.2973,9658.07,294.14,306.75,STCG,1811.44,7245.74,2.5328,163.36,163.36,53.44,3708.0,LVM_ROTATION,10.0
HCLTECH,Technology,2024-01-02,2024-02-02,31,204,1485.5341,1583.2152,19926.94,188.46,335.0,STCG,3880.7,15522.79,5.1222,166.14,166.14,65.61,1588.2,LVM_ROTATION,10.0
DRREDDY,Healthcare,2024-01-02,2024-02-02,31,261,1162.5714,1201.9868,10287.42,306.48,325.4,STCG,1931.11,7724.43,2.5457,164.29,164.29,67.72,1224.23,LVM_ROTATION,10.0
OFSS,Technology,2024-01-02,2024-02-02,31,69,4354.2498,6482.511,146850.02,349.67,463.94,STCG,29207.28,116829.13,38.8856,160.58,160.58,78.04,6877.1001,LVM_ROTATION,10.0
HAL,Industrials,2024-02-02,2024-03-02,29,109,3015.012,3153.843,15132.58,133.92,356.57,STCG,2928.42,11713.67,3.5643,188.62,188.62,87.43,3154.3,LVM_ROTATION,10.0
PERSISTENT,Technology,2024-02-02,2024-04-02,60,78,4193.5394,3985.011,-16265.22,101.5,322.4,STCG,0.0,-16689.12,-5.1022,183.33,183.33,77.75,4434.7749,LVM_ROTATION,10.0
COLPAL,Consumer Defensive,2023-12-02,2024-06-04,185,124,2301.2489,2708.339,50479.17,252.22,348.34,STCG,9975.72,39902.89,13.9836,182.28,182.8,75.65,2862.6001,LVM_ROTATION,10.0
TORNTPHARM,Healthcare,2023-12-02,2024-06-04,185,132,2172.17,2675.422,66429.26,237.9,366.3,STCG,13165.01,52660.05,18.366,162.7,167.8,60.73,2734.7,LVM_ROTATION,10.0
AMBUJACEM,Basic Materials,2024-05-03,2024-06-05,33,588,630.1295,574.425,-32754.25,281.99,350.34,STCG,0.0,-33386.57,-9.0108,151.57,151.57,151.31,670.8,LVM_STOP: -11.7% <= -10%,10.0
COALINDIA,Energy,2024-02-02,2024-07-02,151,800,411.2108,477.522,53048.96,271.4,396.24,STCG,10476.26,41905.06,12.7383,185.45,188.48,81.15,512.35,LVM_ROTATION,10.0
