symbol,fiscal_year,is_standard_period,roe,debt_to_equity,book_value_cr,bv_per_share,eps,net_profit_cr,equity_cr,borrowings_cr,revenue_cr,interest_expense_cr,revenue_growth_pct,earnings_growth_pct
APLAPOLLO,Mar 2018,True,18.85,92.48,838.0,34916.67,6583.33,158.0,838.0,775.0,5335.0,81.0,35.96,3.95
APLAPOLLO,Mar 2019,True,15.35,89.0,964.0,40166.67,6166.67,148.0,964.0,858.0,7152.0,113.0,34.06,-6.33
APLAPOLLO,Mar 2020,True,18.88,61.5,1356.0,54240.0,10240.0,256.0,1356.0,834.0,7723.0,107.0,7.98,72.97
APLAPOLLO,Mar 2021,True,24.07,30.68,1695.0,67800.0,16320.0,408.0,1695.0,520.0,8500.0,66.0,10.06,59.38
APLAPOLLO,Mar 2022,True,25.12,23.58,2464.0,49280.0,12380.0,619.0,2464.0,581.0,13063.0,44.0,53.68,51.72
APLAPOLLO,Mar 2023,True,21.36,29.05,3005.0,54636.36,11672.73,642.0,3005.0,873.0,16166.0,67.0,23.75,3.72
APLAPOLLO,Mar 2024,True,20.31,31.73,3605.0,64375.0,13071.43,732.0,3605.0,1144.0,18119.0,113.0,12.08,14.02
APLAPOLLO,Mar 2025,True,17.99,15.06,4209.0,75160.71,13517.86,757.0,4209.0,634.0,20690.0,133.0,14.19,3.42
APLAPOLLO,Mar 2026,True,22.71,9.4,5297.0,94589.29,21482.14,1203.0,5297.0,498.0,23079.0,125.0,11.55,58.92
AUBANK,Mar 2014,True,15.56,0.0,649.0,15093.02,2348.84,101.0,649.0,0.0,,317.0,,
AUBANK,Mar 2015,True,19.45,0.0,838.0,19045.45,3704.55,163.0,838.0,0.0,,334.0,,61.39
AUBANK,Mar 2016,True,23.17,0.0,1066.0,24227.27,5613.64,247.0,1066.0,0.0,,492.0,,51.53
AUBANK,Mar 2017,True,38.35,0.0,1987.0,6996.48,2683.1,762.0,1987.0,0.0,,531.0,,208.5
ADANIENSOL,Mar 2015,True,-0.65,895.75,1083.0,993.58,-6.42,-7.0,1083.0,9701.0,131.0,73.0,,
ADANIENSOL,Mar 2016,True,13.77,321.29,2672.0,2429.09,334.55,368.0,2672.0,8585.0,2194.0,957.0,1574.81,
ADANIENSOL,Mar 2017,True,14.12,304.55,2947.0,2679.09,378.18,416.0,2947.0,8975.0,2876.0,904.0,31.08,13.04
ADANIENSOL,Mar 2018,True,18.87,172.16,6057.0,5506.36,1039.09,1143.0,6057.0,10428.0,3944.0,886.0,37.13,174.76
ADANIENSOL,Mar 2019,True,6.95,250.37,8043.0,7311.82,508.18,559.0,8043.0,20137.0,7305.0,1391.0,85.22,-51.09
ADANIENSOL,Mar 2020,True,8.31,285.28,8499.0,7726.36,641.82,706.0,8499.0,24246.0,11416.0,2238.0,56.28,26.3
ADANIENSOL,Mar 2021,True,14.46,303.79,8919.0,8108.18,1172.73,1290.0,8919.0,27095.0,9926.0,2117.0,-13.05,82.72
ADANIENSOL,Mar 2022,True,12.47,301.64,9913.0,9011.82,1123.64,1236.0,9913.0,29902.0,11258.0,2365.0,13.42,-4.19
ADANIENSOL,Mar 2023,True,10.9,291.68,11749.0,10537.22,1148.88,1281.0,11749.0,34270.0,13293.0,2781.0,18.08,3.64
ADANIENSOL,Mar 2024,True,9.46,293.25,12641.0,11337.22,1072.65,1196.0,12641.0,37070.0,16607.0,2767.0,24.93,-6.64
ADANIENSOL,Mar 2025,True,4.18,182.5,22068.0,18374.69,767.69,922.0,22068.0,40275.0,23767.0,3259.0,43.11,-22.91
ADANIENSOL,Mar 2026,True,9.41,193.4,25427.0,21171.52,1992.51,2393.0,25427.0,49176.0,27588.0,3633.0,16.08,159.54
