symbol,entry_date,entry_price,exit_date,pnl_pct,max_gain_pct,exit_reason,lanes,lane_count,month
AUROPHARMA,2026-03-18,1269.0,2026-03-25,3.06,4.81,hold_expiry,SECTOR_RS,1,2026-03
AUROPHARMA,2026-04-01,1342.1,2026-04-02,-5.0,0.0,stop_loss,SECTOR_RS,1,2026-04
AUROPHARMA,2026-04-08,1335.7,2026-04-16,3.8,4.06,hold_expiry,SECTOR_RS,1,2026-04
AUROPHARMA,2026-04-29,1396.8,2026-05-06,6.24,6.65,hold_expiry,VCP,1,2026-04
AUROPHARMA,2026-05-11,1486.6,2026-05-18,0.94,2.78,hold_expiry,SECTOR_RS,1,2026-05
AUROPHARMA,2026-05-22,1463.5,2026-06-01,-2.04,0.65,hold_expiry,VCP+SECTOR_RS,2,2026-05
AIIL,2026-02-18,500.95,2026-02-25,-1.66,2.64,hold_expiry,MEAN_REVERT,1,2026-02
AIIL,2026-03-10,486.35,2026-03-11,-5.0,0.0,stop_loss,MEAN_REVERT+IGNITE,2,2026-03
AIIL,2026-03-16,464.1,2026-03-23,3.53,9.63,hold_expiry,MEAN_REVERT,1,2026-03
AIIL,2026-05-11,502.75,2026-05-12,-5.0,0.42,stop_loss,SECTOR_RS,1,2026-05
AIIL,2026-05-15,505.5,2026-05-22,1.04,5.68,hold_expiry,SECTOR_RS,1,2026-05
AIIL,2026-05-27,497.0,2026-05-29,-5.0,0.0,stop_loss,SECTOR_RS,1,2026-05
DMART,2026-02-19,3834.1,2026-02-26,0.82,2.91,hold_expiry,VCP,1,2026-02
DMART,2026-03-06,3875.8,2026-03-13,-1.07,4.65,hold_expiry,VCP,1,2026-03
DMART,2026-04-01,4271.1,2026-04-09,3.38,6.82,hold_expiry,IGNITE,1,2026-04
DMART,2026-04-29,4593.4,2026-05-04,-5.0,0.47,stop_loss,VCP,1,2026-04
DMART,2026-05-08,4402.1,2026-05-15,-0.99,0.67,hold_expiry,VCP,1,2026-05
AXISBANK,2026-02-18,1377.0,2026-02-25,1.89,1.98,hold_expiry,VCP,1,2026-02
