date,symbol,action,score,price,pe_ratio,roe,debt_to_equity,reason,rank,sector,price_7d,price_30d,price_90d,return_7d,return_30d,return_90d,hybrid_fundamental_quality,hybrid_momentum_technical,hybrid_volume_strength,hybrid_multi_timeframe,hybrid_ml_signal,hybrid_risk_adjustment,score_v2,regime,hybrid_growth,hybrid_value,sleeve,fq_score,turbo_score_recomputed,picking_rank,active_oracle,exit_rule
2026-05-31 14:43:35.725172,IGIL,HOLD,-11.35,371.8,31.349072,30.3103,9.594,[POLICY OVERRIDE] action=HOLD | raw=⚪ OUT OF ORACLE POOL,0,Basic Materials,,,,,,,82.7,62.7,20.0,82.4,50.0,46.5,48.4,SIDEWAYS,74.7,6.7,TACTICAL,-11.35,58.365,-11.35,fq_score,⚪ HOLD - MONITOR
2026-05-31 14:43:35.728237,NATCOPHARM,SELL,51.25,1015.9,12.820546,16.853,7.742,[POLICY OVERRIDE] action=SELL | raw=🎯 ORACLE+TURBO POOL,0,Healthcare,,,,,,,82.6,23.9,63.2,73.4,50.0,47.7,54.4,SIDEWAYS,16.3,87.3,TACTICAL,51.25,61.68000000000001,51.25,fq_score,⚠️ HOLD - ROTATION CANDIDATE
2026-05-31 14:43:35.731074,GPIL,SELL,-17.35,288.05,22.879269,14.866,7.582,[POLICY OVERRIDE] action=SELL | raw=⚪ OUT OF ORACLE POOL,0,Basic Materials,,,,,,,80.2,34.7,0.0,60.4,50.0,58.4,39.5,SIDEWAYS,66.4,54.5,TACTICAL,-17.35,41.63999999999999,-17.35,fq_score,⚪ HOLD - MONITOR
2026-05-31 14:43:35.735699,GESHIP,SELL,9.45,1418.9,6.8965683,18.849,6.409,[POLICY OVERRIDE] action=SELL | raw=⚪ OUT OF ORACLE POOL,0,Industrials,,,,,,,76.3,21.1,20.0,78.6,50.0,55.1,47.6,SIDEWAYS,86.8,86.1,CORE,9.45,52.364999999999995,9.45,fq_score,⚠️ HOLD - ROTATION CANDIDATE
2026-05-31 14:43:35.738773,BAJAJHLDNG,HOLD,5.75,10361.0,11.961717,12.624,0.012,[POLICY OVERRIDE] action=HOLD | raw=⚪ OUT OF ORACLE POOL,0,Financial Services,,,,,,,84.6,44.7,28.1,57.7,50.0,50.6,50.3,SIDEWAYS,50.5,80.4,CORE,5.75,48.80499999999999,5.75,fq_score,⚠️ HOLD - ROTATION CANDIDATE
2026-05-31 14:43:35.743190,HEXT,SWAP,-16.15,508.0,22.51773,22.272,10.521,[POLICY OVERRIDE] action=SWAP | raw=⚪ OUT OF ORACLE POOL,0,Technology,,,,,,,89.3,72.3,20.0,66.6,50.0,27.4,54.6,SIDEWAYS,60.2,34.5,TACTICAL,-16.15,53.335,-16.15,fq_score,⚪ HOLD - MONITOR
2026-05-31 14:43:35.746400,GODFRYPHLP,HOLD,-17.7,2282.8,23.365406,26.593,3.757,[POLICY OVERRIDE] action=HOLD | raw=⚪ OUT OF ORACLE POOL,0,Consumer Defensive,,,,,,,92.9,35.4,0.0,74.1,50.0,21.2,46.5,SIDEWAYS,81.8,23.8,TACTICAL,-17.7,47.825,-17.7,fq_score,ORACLE_NO_RANK_SELL
2026-05-31 14:43:35.749237,AIIL,SELL,13.799999999999995,478.75,7.769393,13.1118,24.59,[POLICY OVERRIDE] action=SELL | raw=⚪ OUT OF ORACLE POOL,0,Financial Services,,,,,,,71.4,40.2,33.9,51.8,50.0,34.3,46.5,SIDEWAYS,0.0,76.8,TACTICAL,13.799999999999995,46.785,13.799999999999995,fq_score,⚠️ HOLD - ROTATION CANDIDATE
2026-05-31 14:43:35.753785,BLS,SELL,-13.9,260.9,15.66967,30.143,15.468,[POLICY OVERRIDE] action=SELL | raw=⚪ OUT OF ORACLE POOL,0,Industrials,,,,,,,86.8,27.8,0.0,46.0,50.0,31.0,39.3,SIDEWAYS,74.5,43.7,TACTICAL,-13.9,35.52,-13.9,fq_score,⚪ HOLD - MONITOR
2026-05-31 14:43:35.756946,RVNL,HOLD,66.30000000000001,245.45,58.44048,8.981,49.078,📋 ORACLE WATCHLIST,0,Industrials,,,,,,,48.4,19.2,75.9,63.1,50.0,30.3,48.3,SIDEWAYS,27.1,4.4,TACTICAL,66.30000000000001,58.55500000000001,66.30000000000001,fq_score,
