symbol,entry_date,entry_price,exit_date,exit_price,pnl_pct,max_gain_pct,exit_reason,price,dist_20d,rsi,vol_ratio_10_50,range5_pct,ret_20d,bb_width,month
ALKEM,2026-05-06,5557.0,2026-05-13,5462.5,-1.7,2.09,hold_expiry,5557.0,3.1,49.4,0.97,6.51,5.93,9.7,2026-05
ALKEM,2026-05-20,5436.5,2026-05-27,5451.5,0.28,3.08,hold_expiry,5436.5,4.17,52.7,0.62,4.61,-1.52,7.16,2026-05
ALOKINDS,2026-05-04,13.92,2026-05-11,14.06,1.01,4.17,hold_expiry,13.920000076293945,5.95,52.4,0.67,5.36,9.78,13.64,2026-05
ALOKINDS,2026-05-15,13.8,2026-05-18,13.11,-5.0,0.0,stop_loss,13.800000190734863,4.83,46.8,0.9,6.26,0.44,6.06,2026-05
AMBUJACEM,2026-05-26,449.7,2026-06-01,434.9,-3.29,2.74,hold_expiry,449.70001220703125,3.39,51.7,0.79,7.24,-1.08,7.01,2026-05
ANANDRATHI,2026-03-11,3119.08,2026-03-18,3057.9,-1.96,0.63,hold_expiry,3119.0810546875,3.57,67.9,0.84,4.38,3.58,9.22,2026-03
ANANDRATHI,2026-03-30,3029.46,2026-04-08,3391.85,11.96,12.35,hold_expiry,3029.456787109375,6.34,36.7,0.81,6.06,-1.32,9.97,2026-03
ANANDRATHI,2026-05-05,3605.73,2026-05-12,3522.89,-2.3,2.39,hold_expiry,3605.726318359375,3.27,53.2,0.78,3.46,10.05,12.55,2026-05
ANANDRATHI,2026-05-19,3566.7,2026-05-26,3587.2,0.57,3.17,hold_expiry,3566.699951171875,3.39,48.7,0.99,3.37,-1.99,3.02,2026-05
APARINDS,2026-05-14,12735.0,2026-05-18,12098.25,-5.0,2.27,stop_loss,12735.0,2.02,67.1,0.65,5.25,10.91,14.35,2026-05
APOLLOHOSP,2026-03-04,7666.0,2026-03-11,7684.0,0.23,2.66,hold_expiry,7666.0,2.6,63.2,0.98,5.28,7.87,12.84,2026-03
APOLLOHOSP,2026-03-16,7490.0,2026-03-23,7115.5,-5.0,1.54,stop_loss,7490.0,4.83,38.1,0.97,6.21,-1.68,5.02,2026-03
APOLLOHOSP,2026-04-13,7516.5,2026-04-21,7744.0,3.03,3.31,hold_expiry,7516.5,3.01,59.8,0.99,4.78,-0.77,6.29,2026-04
APOLLOHOSP,2026-04-29,7709.0,2026-05-06,7760.5,0.67,1.38,hold_expiry,7709.0,2.15,64.5,0.87,3.65,3.91,9.02,2026-04
APOLLOHOSP,2026-05-11,8082.0,2026-05-18,8020.5,-0.76,1.21,hold_expiry,8082.0,0.76,66.4,0.91,6.07,7.52,7.46,2026-05
ASHOKLEY,2026-02-25,211.61,2026-03-02,201.03,-5.0,1.18,stop_loss,211.61000061035156,1.77,62.5,0.89,5.89,9.04,10.66,2026-02
ASIANPAINT,2026-05-06,2519.0,2026-05-13,2617.6,3.91,4.9,hold_expiry,2519.0,2.44,61.2,0.54,6.02,10.37,12.87,2026-05
ASIANPAINT,2026-05-26,2647.0,2026-06-01,2632.4,-0.55,4.98,hold_expiry,2647.0,1.38,65.9,0.93,4.77,8.16,12.23,2026-05
ASTERDM,2026-04-08,666.5,2026-04-16,674.35,1.18,3.41,hold_expiry,666.5,5.66,55.0,0.7,5.3,1.69,11.35,2026-04
ASTERDM,2026-04-21,679.75,2026-04-28,705.3,3.76,6.58,hold_expiry,679.75,3.79,54.5,0.53,3.24,7.31,12.62,2026-04
ASTERDM,2026-05-01,701.05,2026-05-08,742.4,5.9,9.84,hold_expiry,701.0499877929688,3.24,57.6,0.96,5.74,6.53,10.14,2026-05
ASTERDM,2026-05-22,756.6,2026-05-29,728.35,-3.73,1.58,hold_expiry,756.5999755859375,2.57,56.3,0.87,5.85,5.11,11.14,2026-05
ASTRAZEN,2026-02-19,8903.0,2026-02-26,8849.0,-0.61,0.52,hold_expiry,8903.0,3.44,65.0,0.9,4.28,6.66,10.71,2026-02
ASTRAZEN,2026-03-10,8815.5,2026-03-13,8374.73,-5.0,0.5,stop_loss,8815.5,4.39,42.7,0.46,4.42,-1.62,4.91,2026-03
ASTRAZEN,2026-05-07,8549.0,2026-05-14,8352.0,-2.3,1.42,hold_expiry,8549.0,3.94,51.7,0.75,7.06,6.19,8.49,2026-05
