date,symbol,action,score,price,pe_ratio,roe,debt_to_equity,reason,rank,sector
2025-10-30 13:06:57.766630,BANKINDIA,BOOK 50% PROFITS,90.7345561366769,141.11,6.659273,12.234,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.770828,INDUSTOWER,INCREASE POSITION,83.28476435221468,367.3,10.363996,29.018998,10.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Communication Services
2025-10-30 13:06:57.774422,GICRE,INCREASE POSITION,86.10167330277632,382.3,7.835622,9.172,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.777904,BANDHANBNK,INCREASE POSITION,74.5000167807024,170.89,13.403137,0.0,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.781318,ICICIBANK,INCREASE POSITION,71.7754685082824,1366.4,18.499865,17.599002,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.786184,AUBANK,BOOK 30% PROFITS,65.83575746535912,877.45,30.132212,12.654000000000002,0.0,🟢 STRONG BUY (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.790454,KOTAKBANK,INCREASE POSITION,65.40679653896498,2132.6,22.850101,11.78,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.794350,NESTLEIND,INCREASE POSITION,51.45538961898976,1276.1,83.5144,70.792,10.0,🟢 BUY (DIVERSIFIES),0,Consumer Defensive
2025-10-30 13:06:57.798138,HINDUNILVR,CONSIDER SELLING,46.27073593519211,2467.9,53.32541,21.819,3.611,🟠 WEAK SELL,0,Consumer Defensive
2025-10-30 13:06:57.802365,M&MFIN,NEW POSITION,,313.75,16.556728,10.9919995,10.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.806229,SHRIRAMFIN,NEW POSITION,,736.35,14.429747,18.113,10.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.810422,BAJAJFINSV,NEW POSITION,,2109.3,35.76297,16.087,10.0,🟢 STRONG BUY (DIVERSIFIES),0,Financial Services
2025-10-30 13:06:57.814222,HINDALCO,NEW POSITION,,856.85,11.256568,14.729999,10.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Basic Materials
2025-10-31 10:07:10.464859,UJJIVANSFB,INCREASE POSITION,71.36243890762702,52.22,24.401869,6.832000000000001,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-31 10:07:10.480402,IDBI,INCREASE POSITION,92.68264414476428,100.74,11.659721,15.128,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-31 10:07:10.485347,SBIN,BOOK 30% PROFITS,87.62215016816072,940.0,10.557053,16.584,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-31 10:07:10.490319,CUB,INCREASE POSITION,89.75247157293785,232.56,14.888604,13.041,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-31 10:07:10.494312,ICICIGI,INCREASE POSITION,68.90436946907572,2016.3,36.011787,17.802,0.0,🟢 STRONG BUY (DIVERSIFIES),0,Financial Services
2025-10-31 10:07:10.498507,KARURVYSYA,INCREASE POSITION,88.78783828718188,245.7,11.280992,17.764,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-31 10:07:10.503885,INDIANB,BOOK 30% PROFITS,86.72876225942736,873.5,10.437328,15.754,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-31 10:07:10.508156,FEDERALBNK,BOOK 30% PROFITS,81.47996053717381,236.6,14.815279,11.451,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-31 10:07:10.512198,PNB,BOOK 30% PROFITS,85.65075332358172,121.88,8.212937,12.666,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-31 10:07:10.516104,HDFCBANK,BOOK 71% PROFITS,82.04224529917501,996.6,22.79506,10.8430006,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-31 10:07:10.521925,NMDC,INCREASE POSITION,85.51294106602323,75.56,9.456821,23.085,10.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Basic Materials
2025-10-31 10:07:10.526372,CANBK,BOOK 30% PROFITS,92.31012882940624,135.77,5.7505293,16.364,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-31 10:07:10.530345,UNIONBANK,INCREASE POSITION,92.70889242696676,148.39,6.1217,16.747,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-31 10:07:10.535163,MAHABANK,INCREASE POSITION,92.38047226527026,59.25,7.4716268,22.427,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
2025-10-31 10:07:10.539989,UCOBANK,BOOK 30% PROFITS,79.12549517402599,33.0,16.019419,8.405,0.0,🟢 STRONG BUY (UNDERVALUED) (DIVERSIFIES),0,Financial Services
