date,symbol,action,score,price,pe_ratio,roe,debt_to_equity,reason,rank,sector,price_7d,price_30d,price_90d,return_7d,return_30d,return_90d,hybrid_fundamental_quality,hybrid_momentum_technical,hybrid_volume_strength,hybrid_multi_timeframe,hybrid_ml_signal,hybrid_risk_adjustment,score_v2,regime,hybrid_growth,hybrid_value,sleeve,fq_score,turbo_score_recomputed,picking_rank,active_oracle,exit_rule
2026-05-15 19:30:09.075986,ABFRL,NEW POSITION,74.63000000000001,62.66,10.106452,-5.5169,84.682,🟢 BUY (VALUE) (SIDEWAYS-Q1: MEDIUM),0,Consumer Cyclical,68.0,,,8.52,,,45.7,34.8,0.0,48.1,50.0,12.0,68.7,SIDEWAYS,47.3,75.9,TACTICAL,,,,,
2026-05-15 19:30:09.082529,NEWGEN,NEW POSITION,73.98,472.3,22.373281,18.251,2.214,🟢 STRONG BUY (UNDERVALUED) (SIDEWAYS-Q1: MEDIUM),0,Technology,441.4500122070313,,,-6.53,,,81.2,32.7,34.1,66.0,50.0,16.4,73.0,SIDEWAYS,27.6,24.3,TACTICAL,,,,,
2026-05-15 19:30:09.084854,GROWW,HOLD,71.38,187.67,55.197056,28.718,3.028,[POLICY OVERRIDE] action=HOLD | raw=🟢 BUY (SIDEWAYS-Q1: MEDIUM),0,Financial Services,190.44000244140625,,,1.48,,,74.5,24.5,8.8,79.1,50.0,28.9,66.8,SIDEWAYS,100.0,0.0,TACTICAL,,,,,
2026-05-15 19:30:09.087355,FIRSTCRY,NEW POSITION,71.33000000000001,224.22,191.437719,-4.0382,31.483,🟢 BUY (SIDEWAYS-Q1: MEDIUM),0,Consumer Cyclical,234.8000030517578,,,4.72,,,36.7,19.4,0.0,45.4,50.0,16.1,68.4,SIDEWAYS,70.9,27.4,TACTICAL,,,,,
2026-05-15 19:30:09.089581,GODFRYPHLP,HOLD,68.43,2424.9,29.092981,20.436,3.005,[POLICY OVERRIDE] action=HOLD | raw=🟢 BUY (VALUE),0,Consumer Defensive,2323.0,,,-4.2,,,84.1,67.9,10.7,82.8,50.0,23.1,64.0,SIDEWAYS,61.6,11.9,TACTICAL,,,,,
2026-05-15 19:30:09.091815,NIACL,HOLD,65.78,165.02,19.255545,3.421,0.0,[POLICY OVERRIDE] action=HOLD | raw=🟢 BUY (VALUE) (CONCENTRATION RISK),0,Financial Services,165.9199981689453,,,0.55,,,65.8,42.4,25.0,86.1,50.0,37.8,61.7,SIDEWAYS,82.0,85.5,TACTICAL,,,,,
2026-05-15 19:30:09.094164,IIFL,HOLD,64.78,464.85,11.993034,12.286,218.913,[POLICY OVERRIDE] action=HOLD | raw=🟢 BUY (VALUE) (CONCENTRATION RISK),0,Financial Services,481.2000122070313,,,3.52,,,53.4,50.5,76.9,74.1,50.0,41.3,61.7,SIDEWAYS,68.0,95.8,TACTICAL,,,,,
2026-05-15 19:30:09.096013,MUTHOOTFIN,HOLD,63.28000000000001,3311.4,12.554119,30.406,249.55899999999997,[POLICY OVERRIDE] action=HOLD | raw=🟢 BUY (VALUE) (CONCENTRATION RISK),0,Financial Services,3361.10009765625,,,1.5,,,72.8,28.6,64.4,56.8,50.0,47.1,57.7,SIDEWAYS,100.0,71.6,TACTICAL,,,,,
2026-05-15 19:30:09.098062,SAREGAMA,SWAP,63.0,415.75,38.746506,12.8994,0.185,[POLICY OVERRIDE] action=SWAP | raw=🟢 BUY,0,Communication Services,403.4500122070313,,,-2.96,,,63.7,73.7,100.0,89.9,50.0,42.5,62.3,SIDEWAYS,18.3,10.6,TACTICAL,,,,,
2026-05-15 19:30:09.100773,BAJAJHLDNG,HOLD,54.48,10308.0,11.905065,12.624,0.012,🟡 HOLD,0,Financial Services,10660.0,,,3.41,,,84.5,40.3,3.9,66.6,50.0,48.7,50.4,SIDEWAYS,50.5,80.4,CORE,,,,,
2026-05-15 19:30:09.103396,UNIONBANK,SWAP,54.28000000000001,161.94,6.365566,15.708,0.0,[POLICY OVERRIDE] action=SWAP | raw=🟡 HOLD,0,Financial Services,165.49000549316406,,,2.19,,,79.3,20.8,8.3,52.9,50.0,51.2,50.2,SIDEWAYS,53.9,86.1,CORE,,,,,
