symbol,sector,entry_date,exit_date,holding_days,qty,entry_price,exit_price,gross_pl,entry_costs,exit_costs,tax_type,tax,net_pl,net_return_pct,entry_score,peak_score,exit_score,peak_price,exit_reason,slippage_bps
ADANIENSOL,Utilities,2026-03-24,2026-04-17,24,1,971.0701,1233.3155,262.25,1.15,1.28,STCG,51.96,207.85,21.4043,61.16,61.16,58.62,1222.6,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 82 (heavy exhaustion) | 📉 Volume declining on rally | 🕯️ Upper wicks: 3 rejections | 📏 Extended: 18.7% above 20-MA,10.0
PETRONET,Energy,2026-03-24,2026-04-17,24,26,243.3431,271.708,737.49,7.51,7.33,STCG,144.53,578.12,9.1374,55.32,55.32,50.18,271.49,MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 77 | 📉 Volume declining on rally | 🕯️ Upper wicks: 5 rejections,10.0
SAIL,Basic Materials,2026-03-31,2026-04-17,17,40,155.7556,171.828,642.9,7.4,7.13,STCG,125.67,502.7,8.0687,61.47,61.47,49.42,171.32,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 82 (heavy exhaustion) | 🕯️ Upper wicks: 3 rejections,10.0
BSE,Financial Services,2026-02-17,2026-04-18,60,1,2812.7098,3536.46,723.75,3.38,3.67,STCG,143.34,573.36,20.3846,56.74,56.74,54.73,3531.5,MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 79 | 📉 Volume declining on rally | 📏 Extended: 16.6% above 20-MA,10.0
ATGL,Utilities,2026-03-17,2026-04-18,32,9,526.2257,633.7156,967.41,5.62,5.92,STCG,191.17,764.7,16.1464,59.13,59.13,50.77,632.9,MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 78 | 📈 Strong rally: +15.1% in 5 days | 📏 Extended: 16.1% above 20-MA,10.0
PETRONET,Energy,2026-03-24,2026-04-18,25,7,243.3431,273.5262,211.28,2.02,1.99,STCG,41.45,165.82,9.7346,55.32,55.32,50.18,273.22,MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 77 | 📉 Volume declining on rally | 🕯️ Upper wicks: 4 rejections,10.0
SAIL,Basic Materials,2026-03-31,2026-04-18,18,10,155.7556,173.2266,174.71,1.85,1.8,STCG,34.21,136.85,8.7863,61.47,61.47,49.42,173.33,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 82 (heavy exhaustion),10.0
NTPCGREEN,Utilities,2026-04-14,2026-04-18,4,87,106.0559,111.848,503.91,10.95,10.09,STCG,96.57,386.29,4.1866,64.44,64.44,64.44,111.96,MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 76 | 📉 Volume declining on rally | 🕯️ Upper wicks: 3 rejections | 📈 Strong rally: +16.4% in 5 days,10.0
PETRONET,Energy,2026-03-24,2026-04-21,28,2,243.3431,272.0377,57.39,0.58,0.56,STCG,11.25,45.0,9.2457,55.32,55.32,51.34,273.22,MOMENTUM EXHAUSTION: ⚪ RSI elevated: 71 | 📉 Volume declining on rally | 🕯️ Upper wicks: 4 rejections,10.0
SAIL,Basic Materials,2026-03-31,2026-04-21,21,2,155.7556,174.2256,36.94,0.37,0.36,STCG,7.24,28.97,9.2989,61.47,61.47,47.02,173.33,MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 78,10.0
TIINDIA,Industrials,2026-03-17,2026-04-22,36,1,2444.9425,2897.1,452.16,3.12,3.0,STCG,89.21,356.83,14.5945,57.0,60.26,60.26,2885.2,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 83 (heavy exhaustion) | 🕯️ Upper wicks: 6 rejections,10.0
SAIL,Basic Materials,2026-03-31,2026-04-22,22,2,155.7556,175.1247,38.74,0.37,0.36,STCG,7.6,30.4,9.7602,61.47,61.47,47.02,175.06,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 91 (heavy exhaustion) | 📉 Volume declining on rally | 🕯️ Upper wicks: 3 rejections,10.0
BHEL,Industrials,2026-04-21,2026-04-22,1,29,327.337,331.658,125.31,11.27,9.98,STCG,20.81,83.25,0.877,65.33,65.33,65.33,332.61,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 86 (heavy exhaustion) | 📈 Strong rally: +15.6% in 5 days | 📏 Extended: 21.4% above 20-MA,10.0
TRENT,Consumer Cyclical,2026-04-21,2026-04-22,1,1,4268.264,4431.564,163.3,5.07,4.6,STCG,30.73,122.91,2.8796,62.36,62.36,62.36,4390.5,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 85 (heavy exhaustion) | 📏 Extended: 17.0% above 20-MA,10.0
MAHABANK,Financial Services,2026-04-21,2026-04-22,1,123,77.4774,80.5094,372.94,11.31,10.27,STCG,70.27,281.08,2.9495,61.82,61.82,61.82,80.18,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 81 (heavy exhaustion) | 🕯️ Upper wicks: 4 rejections | 📏 Extended: 18.0% above 20-MA,10.0
ATGL,Utilities,2026-03-17,2026-04-23,37,2,526.2257,628.371,204.29,1.25,1.3,STCG,40.35,161.39,15.3347,59.13,59.13,53.8,632.9,MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 80 | 📉 Volume declining on rally,10.0
GMRAIRPORT,Industrials,2026-03-31,2026-04-23,23,73,86.9469,96.893,726.07,8.48,7.34,STCG,142.05,568.2,8.952,62.54,62.54,50.96,99.22,MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 78 | 📉 Volume declining on rally | 🕯️ Upper wicks: 4 rejections,10.0
IRB,Industrials,2026-03-31,2026-04-23,23,107,22.2222,22.1278,-10.1,2.82,2.46,STCG,0.0,-15.38,-0.6468,61.08,61.08,44.64,22.26,"MOMENTUM EXHAUSTION: 📉 Volume declining on rally | 🕯️ Upper wicks: 4 rejections | ⚠️ Bearish divergence (price up, RSI down)",10.0
MOTILALOFS,Financial Services,2026-04-21,2026-04-23,2,6,812.5617,806.1431,-38.51,5.79,5.02,STCG,0.0,-49.32,-1.0115,66.78,66.78,66.78,821.2,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 81 (heavy exhaustion),10.0
YESBANK,Financial Services,2026-04-21,2026-04-23,2,238,20.0,19.9201,-19.02,5.65,4.92,STCG,0.0,-29.58,-0.6215,64.66,64.66,64.66,20.0,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 82 (heavy exhaustion),10.0
TRENT,Consumer Cyclical,2026-04-21,2026-04-23,2,1,4268.264,4435.56,167.3,5.07,4.6,STCG,31.53,126.1,2.9544,62.36,62.36,62.36,4434.5,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 92 (heavy exhaustion) | 📏 Extended: 16.7% above 20-MA,10.0
ATGL,Utilities,2026-03-17,2026-04-24,38,1,526.2257,624.375,98.15,0.62,0.65,STCG,19.38,77.5,14.7278,59.13,59.13,53.8,632.9,MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 76,10.0
YESBANK,Financial Services,2026-04-21,2026-04-24,3,119,20.0,20.01,1.19,2.83,2.47,STCG,0.0,-4.11,-0.1725,64.66,64.66,64.66,20.03,MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 79,10.0
YESBANK,Financial Services,2026-04-21,2026-04-25,4,60,20.0,19.8302,-10.19,1.42,1.23,STCG,0.0,-12.85,-1.0706,64.66,64.66,64.66,20.03,MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 76,10.0
YESBANK,Financial Services,2026-04-21,2026-04-28,7,30,20.0,19.8801,-3.6,0.71,0.62,STCG,0.0,-4.93,-0.8213,64.66,64.66,47.6,20.03,MOMENTUM EXHAUSTION: ⚪ RSI elevated: 74 | 📉 Volume declining on rally,10.0
VBL,Consumer Defensive,2026-04-28,2026-04-29,1,9,522.0215,520.3791,-14.78,5.58,4.86,STCG,0.0,-25.22,-0.5367,65.95,65.95,65.95,522.0215,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 88 (heavy exhaustion) | 📏 Extended: 16.2% above 20-MA,10.0
SUZLON,Industrials,2026-04-28,2026-04-29,1,84,57.2072,57.6923,40.75,5.71,5.03,STCG,6.0,24.01,0.4997,61.89,61.89,61.89,57.32,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 93 (heavy exhaustion) | 📏 Extended: 19.5% above 20-MA,10.0
YESBANK,Financial Services,2026-04-21,2026-04-30,9,14,20.0,20.2297,3.22,0.33,0.29,STCG,0.52,2.07,0.7399,64.66,64.66,47.6,20.27,"MOMENTUM EXHAUSTION: ⚪ RSI elevated: 70 | 📉 Volume declining on rally | ⚠️ Bearish divergence (price up, RSI down)",10.0
HINDZINC,Basic Materials,2026-04-28,2026-04-30,2,4,629.629,601.9974,-110.53,2.66,2.5,STCG,0.0,-115.68,-4.5933,66.33,66.33,66.33,629.629,"MOMENTUM EXHAUSTION: ⚪ RSI elevated: 71 | ⚠️ Bearish divergence (price up, RSI down)",10.0
VBL,Consumer Defensive,2026-04-28,2026-04-30,2,4,522.0215,522.5769,2.22,2.48,2.17,STCG,0.0,-2.43,-0.1162,65.95,65.95,65.95,523.1,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 86 (heavy exhaustion) | 📏 Extended: 15.5% above 20-MA,10.0
SUZLON,Industrials,2026-04-28,2026-04-30,2,42,57.2072,56.4435,-32.08,2.85,2.46,STCG,0.0,-37.39,-1.556,61.89,61.89,61.89,57.32,MOMENTUM EXHAUSTION: 🔴 RSI extreme: 89 (heavy exhaustion) | 📏 Extended: 16.5% above 20-MA,10.0
HINDZINC,Basic Materials,2026-04-28,2026-05-01,3,3,629.629,595.3541,-102.82,1.99,1.85,STCG,0.0,-106.67,-5.6473,66.33,66.33,66.33,629.629,"MOMENTUM EXHAUSTION: 📉 Volume declining on rally | ⚠️ Bearish divergence (price up, RSI down)",10.0
VBL,Consumer Defensive,2026-04-28,2026-05-01,3,5,522.0215,513.1863,-44.18,3.1,2.66,STCG,0.0,-49.94,-1.9132,65.95,65.95,65.95,523.1,"MOMENTUM EXHAUSTION: 🔴 RSI extreme: 81 (heavy exhaustion) | 📉 Volume declining on rally | ⚠️ Bearish divergence (price up, RSI down)",10.0
INDUSINDBK,Financial Services,2026-04-28,2026-05-01,3,5,891.0402,915.1339,120.47,5.29,4.75,STCG,22.09,88.35,1.983,64.87,64.87,64.87,916.05,MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 75 | 📉 Volume declining on rally,10.0
SUZLON,Industrials,2026-04-28,2026-05-01,3,41,57.2072,55.5244,-68.99,2.78,2.36,STCG,0.0,-74.14,-3.161,61.89,61.89,61.89,57.32,"MOMENTUM EXHAUSTION: 🔴 RSI extreme: 83 (heavy exhaustion) | 📉 Volume declining on rally | ⚠️ Bearish divergence (price up, RSI down)",10.0
GMRAIRPORT,Industrials,2026-03-31,2026-05-05,35,6,86.9469,98.1018,66.93,0.7,0.61,STCG,13.12,52.5,10.0631,62.54,62.54,51.02,99.22,"MOMENTUM EXHAUSTION: 📉 Volume declining on rally | ⚠️ Bearish divergence (price up, RSI down)",10.0
IRB,Industrials,2026-03-31,2026-05-05,35,107,22.2222,21.7782,-47.51,2.82,2.42,STCG,0.0,-52.75,-2.2184,61.08,61.08,38.71,22.26,score 38.7 < SELL_THRESHOLD 40,10.0
INDUSINDBK,Financial Services,2026-04-28,2026-05-05,7,2,891.0402,910.1889,38.3,2.12,1.89,STCG,6.86,27.43,1.5395,64.87,64.87,47.65,916.05,MOMENTUM EXHAUSTION: ⚠️ RSI overbought: 77 | 📉 Volume declining on rally,10.0
MOTILALOFS,Financial Services,2026-04-21,2026-05-06,15,1,812.5617,850.149,37.59,0.96,0.88,STCG,7.15,28.59,3.5188,66.78,66.78,62.36,843.7,"MOMENTUM EXHAUSTION: 📉 Volume declining on rally | ⚠️ Bearish divergence (price up, RSI down)",10.0
YESBANK,Financial Services,2026-04-21,2026-05-06,15,4,20.0,20.8691,3.48,0.09,0.09,STCG,0.66,2.64,3.2948,64.66,64.66,45.41,20.48,"MOMENTUM EXHAUSTION: 📉 Volume declining on rally | ⚠️ Bearish divergence (price up, RSI down)",10.0
INDUSINDBK,Financial Services,2026-04-28,2026-05-06,8,2,891.0402,919.4796,56.88,2.12,1.91,STCG,10.57,42.28,2.3728,64.87,64.87,47.65,916.05,"MOMENTUM EXHAUSTION: ⚪ RSI elevated: 72 | ⚠️ Bearish divergence (price up, RSI down)",10.0
EXIDEIND,Consumer Cyclical,2026-05-05,2026-05-06,1,6,361.8615,365.3343,20.84,2.58,2.27,STCG,3.2,12.79,0.589,64.55,64.55,64.55,361.8615,"MOMENTUM EXHAUSTION: ⚪ RSI elevated: 73 | ⚠️ Bearish divergence (price up, RSI down)",10.0
